;porosity;characteristical_pore_length;sample_id;MEAN_pore_row_length;median_pore_row_length;MEAN_material_row_length;median_material_row_length;sum_medians;sum_MEANS
54;0,1;5,0;1,0;9,190457868410927;8,0;72,85469522240527;49,0;57,0;82,0451530908162
55;0,1;10,0;1,0;18,02724358974359;15,0;138,5442092154421;112,0;127,0;156,5714528051857
56;0,1;15,0;1,0;25,635524798154556;22,0;171,8935185185185;147,0;169,0;197,52904331667307
57;0,1;20,0;1,0;33,585915492957746;29,5;199,41749323715058;195,0;224,5;233,00340873010833
58;0,1;25,0;1,0;43,610169491525426;42,0;195,42780748663102;170,0;212,0;239,03797697815645
59;0,1;30,0;1,0;38,82;33,0;211,75549188156637;198,0;231,0;250,57549188156636
60;0,15;5,0;1,0;11,62826420890937;10,0;56,78453947368421;43,0;53,0;68,41280368259358
61;0,15;10,0;1,0;19,785026737967915;17,0;94,54636363636364;76,0;93,0;114,33139037433155
62;0,15;15,0;1,0;34,53757736516357;34,0;135,93267326732672;95,0;129,0;170,4702506324903
63;0,15;20,0;1,0;36,48049281314169;31,0;165,71835443037975;135,0;166,0;202,19884724352144
64;0,15;25,0;1,0;45,72716488730724;40,0;162,30503144654088;145,0;185,0;208,0321963338481
65;0,15;30,0;1,0;51,00451127819549;36,0;200,07772511848341;227,0;263,0;251,0822363966789
66;0,2;5,0;1,0;12,283645443196004;10,0;45,472364143056204;34,0;44,0;57,756009586252205
67;0,2;10,0;1,0;24,09304652326163;21,0;84,15476699444207;65,0;86,0;108,2478135177037
68;0,2;15,0;1,0;33,693370165745854;27,0;114,47607934655775;74,0;101,0;148,1694495123036
69;0,2;20,0;1,0;44,70038910505836;37,0;133,05347593582889;102,0;139,0;177,75386504088726
70;0,2;25,0;1,0;48,900432900432904;47,0;169,1922099915326;157,0;204,0;218,0926428919655
71;0,2;30,0;1,0;70,68051948051948;54,0;182,36937799043062;192,0;246,0;253,0498974709501
72;0,25;5,0;1,0;13,679830747531735;12,0;41,292219274977896;31,0;43,0;54,972050022509634
73;0,25;10,0;1,0;26,063211125158027;22,0;67,93471810089021;52,0;74,0;93,99792922604823
74;0,25;15,0;1,0;41,31886678722122;35,0;84,50766283524904;67,0;102,0;125,82652962247025
75;0,25;20,0;1,0;47,138888888888886;41,0;125,79046339825386;108,0;149,0;172,92935228714276
76;0,25;25,0;1,0;50,25285338015804;42,0;143,54892966360856;127,0;169,0;193,8017830437666
77;0,25;30,0;1,0;68,83373493975904;66,0;169,70912375790425;165,0;231,0;238,5428586976633
78;0,3;5,0;1,0;14,72901296111665;12,0;32,25292122125895;25,0;37,0;46,9819341823756
79;0,3;10,0;1,0;29,6989604989605;25,0;65,6234404536862;48,0;73,0;95,3224009526467
80;0,3;15,0;1,0;43,40557275541796;39,0;90,3409090909091;61,0;100,0;133,74648184632704
81;0,3;20,0;1,0;58,088554720133665;46,0;111,12602913236225;91,0;137,0;169,2145838524959
82;0,3;25,0;1,0;59,733333333333334;50,0;103,54385964912281;69,0;119,0;163,27719298245614
83;0,3;30,0;1,0;79,18086124401914;72,0;121,44910179640719;98,0;170,0;200,62996304042633
84;0,35;5,0;1,0;16,31103552532124;14,0;29,19632014719411;22,0;36,0;45,50735567251535
85;0,35;10,0;1,0;34,97767145135566;28,0;58,22880414661237;48,0;76,0;93,20647559796802
86;0,35;15,0;1,0;41,3214953271028;34,0;63,98528810788721;49,0;83,0;105,30678343499001
87;0,35;20,0;1,0;53,11975683890577;49,0;98,88205771643663;69,5;118,5;152,0018145553424
88;0,35;25,0;1,0;55,43115124153499;49,0;127,47916666666667;123,0;172,0;182,91031790820165
89;0,35;30,0;1,0;93,19023397761953;84,0;122,7152;86,0;170,0;215,9054339776195
90;0,4;5,0;1,0;18,281117070464212;14,0;26,291419320021586;20,0;34,0;44,572536390485794
91;0,4;10,0;1,0;33,16991269308261;28,0;48,70752831445703;37,0;65,0;81,87744100753963
92;0,4;15,0;1,0;47,282271023031605;33,0;79,59573387506349;60,0;93,0;126,8780048980951
93;0,4;20,0;1,0;56,07701283547258;50,0;94,70992366412214;81,0;131,0;150,78693649959473
94;0,4;25,0;1,0;73,0375;66,0;106,39887640449439;84,0;150,0;179,43637640449438
95;0,4;30,0;1,0;72,02209005947324;67,0;124,88698363211223;115,0;182,0;196,9090736915855
96;0,45;5,0;1,0;19,53651240541967;16,0;23,51658767772512;18,0;34,0;43,05310008314479
97;0,45;10,0;1,0;35,171078114912845;28,0;43,32484076433121;32,0;60,0;78,49591887924406
98;0,45;15,0;1,0;54,544095665171895;46,0;64,29316888045541;51,0;97,0;118,8372645456273
99;0,45;20,0;1,0;65,10479573712256;53,0;77,74208405296488;58,0;111,0;142,84687979008743
100;0,45;25,0;1,0;87,2247454972592;81,0;101,2994692949204;91,0;172,0;188,5242147921796
101;0,45;30,0;1,0;95,70421155729677;72,0;107,42961342086069;91,0;163,0;203,13382497815746
102;0,5;5,0;1,0;20,733117877189997;16,0;21,134763948497856;16,0;32,0;41,86788182568785
103;0,5;10,0;1,0;36,802231866088036;28,0;39,22833178005592;30,0;58,0;76,03056364614395
104;0,5;15,0;1,0;53,62751971954426;48,0;54,88898836168308;45,0;93,0;108,51650808122734
105;0,5;20,0;1,0;69,46129032258065;54,0;62,22568511552929;52,0;106,0;131,68697543810993
106;0,5;25,0;1,0;81,37219101123596;75,0;84,17601043024771;76,0;151,0;165,54820144148368
107;0,5;30,0;1,0;116,64172901080632;92,0;77,14075165806928;60,0;152,0;193,7824806688756
108;0,1;5,0;2,0;9,710873146622735;9,0;76,85595279416869;59,0;68,0;86,56682594079142
109;0,1;10,0;2,0;16,416730038022813;15,0;131,9621972829297;111,0;126,0;148,37892732095253
110;0,1;15,0;2,0;26,09746588693957;23,0;144,04224422442243;112,0;135,0;170,139710111362
111;0,1;20,0;2,0;28,575581395348838;23,0;211,38836772983115;216,0;239,0;239,96394912518
112;0,1;25,0;2,0;47,33101045296167;34,0;231,73617021276596;300,0;334,0;279,0671806657276
113;0,1;30,0;2,0;39,25833333333333;36,0;264,20093457943926;310,0;346,0;303,4592679127726
114;0,15;5,0;2,0;10,842693325492503;9,0;54,184847695912524;41,0;50,0;65,02754102140503
115;0,15;10,0;2,0;19,544732662784543;17,0;93,2258064516129;71,0;88,0;112,77053911439744
116;0,15;15,0;2,0;27,778592375366568;24,0;125,7498482088646;118,0;142,0;153,52844058423116
117;0,15;20,0;2,0;35,96271929824562;33,0;162,9815668202765;140,0;173,0;198,94428611852211
118;0,15;25,0;2,0;44,88156288156288;46,0;173,10224438902742;140,0;186,0;217,9838072705903
119;0,15;30,0;2,0;51,83261183261183;46,0;211,61943319838056;226,0;272,0;263,4520450309924
120;0,2;5,0;2,0;12,102498725140235;10,0;46,58820754716981;36,0;46,0;58,690706272310045
121;0,2;10,0;2,0;22,45872420262664;19,0;78,53306772908367;58,0;77,0;100,99179193171031
122;0,2;15,0;2,0;34,010233918128655;29,0;112,06888763410502;89,0;118,0;146,0791215522337
123;0,2;20,0;2,0;35,879096868171885;31,0;126,85547634478289;115,0;146,0;162,73457321295479
124;0,2;25,0;2,0;48,13588110403397;47,0;142,10391459074734;116,0;163,0;190,23979569478132
125;0,2;30,0;2,0;53,97975253093363;42,0;165,5563025210084;132,0;174,0;219,53605505194204
126;0,25;5,0;2,0;13,499330655957163;11,0;38,55715778474399;28,0;39,0;52,05648844070116
127;0,25;10,0;2,0;24,771370143149284;21,0;66,89662676822633;49,0;70,0;91,66799691137561
128;0,25;15,0;2,0;35,19114219114219;32,0;100,71576650300055;91,0;123,0;135,90690869414274
129;0,25;20,0;2,0;49,00425531914894;44,0;138,62426035502958;104,0;148,0;187,62851567417852
130;0,25;25,0;2,0;50,70826580226905;48,0;115,09526813880126;83,0;131,0;165,8035339410703
131;0,25;30,0;2,0;65,66796116504854;47,0;150,17950889077053;136,0;183,0;215,8474700558191
132;0,3;5,0;2,0;14,188747007182762;12,0;34,22279078921472;26,0;38,0;48,41153779639748
133;0,3;10,0;2,0;27,492808478425435;24,0;59,415374008962424;41,0;65,0;86,90818248738786
134;0,3;15,0;2,0;41,15814226925338;32,0;89,60061443932412;76,0;108,0;130,7587567085775
135;0,3;20,0;2,0;51,35857142857143;42,0;107,31432114073155;85,0;127,0;158,67289256930297
136;0,3;25,0;2,0;84,0981240981241;98,0;186,34730538922156;187,0;285,0;270,4454294873457
137;0,3;30,0;2,0;54,17443609022556;46,0;131,419452887538;110,0;156,0;185,59388897776356
138;0,35;5,0;2,0;15,992037914691943;13,0;30,13921200750469;22,0;35,0;46,13124992219663
139;0,35;10,0;2,0;28,810198300283286;24,0;57,23679608254634;43,0;67,0;86,04699438282962
140;0,35;15,0;2,0;45,117478510028654;38,0;73,89777777777778;54,0;92,0;119,01525628780644
141;0,35;20,0;2,0;51,28478543563069;46,0;101,91656441717791;80,0;126,0;153,2013498528086
142;0,35;25,0;2,0;63,337488869100625;53,0;130,73082706766917;116,0;169,0;194,0683159367698
143;0,35;30,0;2,0;65,70481927710843;56,0;121,52850539291217;95,0;151,0;187,23332467002058
144;0,4;5,0;2,0;17,27963418923672;14,0;25,249139710942877;19,0;33,0;42,5287739001796
145;0,4;10,0;2,0;33,993457638207396;27,0;42,92120474596897;31,0;58,0;76,91466238417637
146;0,4;15,0;2,0;56,57060849598163;45,0;78,8659127625202;58,0;103,0;135,43652125850184
147;0,4;20,0;2,0;62,46747967479675;53,0;94,08743842364532;79,0;132,0;156,55491809844207
148;0,4;25,0;2,0;66,9565816678153;56,0;91,20666255397903;67,0;123,0;158,16324422179434
149;0,4;30,0;2,0;74,18648018648018;61,0;117,54874213836477;100,0;161,0;191,73522232484495
150;0,45;5,0;2,0;19,878885893980232;16,0;23,850550230741923;18,0;34,0;43,729436124722156
151;0,45;10,0;2,0;36,60189109879361;30,0;43,479200786112024;34,0;64,0;80,08109188490563
152;0,45;15,0;2,0;55,63040238450075;49,0;61,072543617998164;53,0;102,0;116,70294600249892
153;0,45;20,0;2,0;72,31402831402832;52,5;82,17100371747212;72,0;124,5;154,48503203150045
154;0,45;25,0;2,0;74,56890699253225;56,0;90,3475935828877;75,0;131,0;164,91650057541995
