noise,method_name,phantom_porosity,phantom_sigma,calculated_sigma,deviation_percent,processing_time_seconds
True,anvar,0.1,10,8.05871212121212,19.412878787878807,17.925674606114626
True,grimax_h,0.1,10,0.0,100.0,0.5981695745140314
True,grimax_smoothed,0.1,10,0.0,100.0,0.5162623850628734
True,grimax_gaus,0.1,10,1.4142135623730951,85.85786437626905,0.520353015512228
True,anvar,0.1,20,16.082920792079214,19.58539603960393,17.79283053614199
True,grimax_h,0.1,20,0.0,100.0,0.46613534912467003
True,grimax_smoothed,0.1,20,0.0,100.0,0.43119647540152073
True,grimax_gaus,0.1,20,1.4142135623730951,92.92893218813451,0.4326936276629567
True,anvar,0.1,30,24.125000000000004,19.58333333333332,17.708372944034636
True,grimax_h,0.1,30,0.0,100.0,0.445951777510345
True,grimax_smoothed,0.1,30,0.0,100.0,0.4415312148630619
True,grimax_gaus,0.1,30,1.4142135623730951,95.28595479208968,0.40345435310155153
True,anvar,0.1,40,32.25,19.375,17.765631828457117
True,grimax_h,0.1,40,0.0,100.0,0.42081542033702135
True,grimax_smoothed,0.1,40,0.0,100.0,0.41504256054759026
True,grimax_gaus,0.1,40,1.4142135623730951,96.46446609406726,0.3904468026012182
True,anvar,0.1,50,42.500000000000014,14.999999999999972,17.817789875902236
True,grimax_h,0.1,50,0.0,100.0,0.4196836641058326
True,grimax_smoothed,0.1,50,0.0,100.0,0.3851265264675021
True,grimax_gaus,0.1,50,1.4142135623730951,97.17157287525382,0.3850481640547514
True,anvar,0.1,60,49.781746031746025,17.030423280423292,17.685184232890606
True,grimax_h,0.1,60,0.0,100.0,0.4132503727450967
True,grimax_smoothed,0.1,60,0.0,100.0,0.3806432541459799
True,grimax_gaus,0.1,60,1.4142135623730951,97.64297739604486,0.38036930188536644
True,anvar,0.1,70,58.68222891566267,16.168244406196187,17.692122012376785
True,grimax_h,0.1,70,0.0,100.0,0.4066401217132807
True,grimax_smoothed,0.1,70,0.0,100.0,0.37667154986411333
True,grimax_gaus,0.1,70,1.4142135623730951,97.97969491089559,0.37523781694471836
True,anvar,0.1,80,67.13293650793644,16.083829365079456,17.747249262407422
True,grimax_h,0.1,80,0.0,100.0,0.39628055412322283
True,grimax_smoothed,0.1,80,0.0,100.0,0.3643814343959093
True,grimax_gaus,0.1,80,1.4142135623730951,98.23223304703363,0.36412558425217867
True,anvar,0.1,90,74.88281249999997,16.796875000000032,17.770871792919934
True,grimax_h,0.1,90,0.0,100.0,0.39415539242327213
True,grimax_smoothed,0.1,90,0.0,100.0,0.3640064373612404
True,grimax_gaus,0.1,90,1.4142135623730951,98.42865159736323,0.361455881036818
True,anvar,0.2,10,8.373287671232875,16.26712328767125,18.148676169104874
True,grimax_h,0.2,10,0.0,100.0,0.6599647523835301
True,grimax_smoothed,0.2,10,0.0,100.0,0.6293282192200422
True,grimax_gaus,0.2,10,0.0,100.0,0.6249719867482781
True,anvar,0.2,20,17.875000000000004,10.624999999999982,18.323439007624984
True,grimax_h,0.2,20,0.0,100.0,0.5176343815401196
True,grimax_smoothed,0.2,20,0.0,100.0,0.4841058561578393
True,grimax_gaus,0.2,20,0.0,100.0,0.4830449428409338
True,anvar,0.2,30,26.62183544303796,11.260548523206802,18.245980807580054
True,grimax_h,0.2,30,0.0,100.0,0.47020884696394205
True,grimax_smoothed,0.2,30,0.0,100.0,0.4387852968648076
True,grimax_gaus,0.2,30,0.0,100.0,0.4377175122499466
True,anvar,0.2,40,34.84968354430377,12.875791139240569,18.315759965218604
True,grimax_h,0.2,40,0.0,100.0,0.45439495518803596
True,grimax_smoothed,0.2,40,0.0,100.0,0.41978386603295803
True,grimax_gaus,0.2,40,0.0,100.0,0.42128380201756954
True,anvar,0.2,50,46.52397260273973,6.952054794520535,18.24005162715912
True,grimax_h,0.2,50,0.0,100.0,0.43522907700389624
True,grimax_smoothed,0.2,50,0.0,100.0,0.4045799085870385
True,grimax_gaus,0.2,50,0.0,100.0,0.39939454663544893
True,anvar,0.2,60,52.94520547945206,11.757990867579894,18.207505931146443
True,grimax_h,0.2,60,0.0,100.0,0.4332591062411666
True,grimax_smoothed,0.2,60,0.0,100.0,0.3955007763579488
True,grimax_gaus,0.2,60,0.0,100.0,0.3937922501936555
True,anvar,0.2,70,65.37500000000001,6.607142857142836,18.302848106250167
True,grimax_h,0.2,70,0.0,100.0,0.4207622539252043
True,grimax_smoothed,0.2,70,0.0,100.0,0.3876490443944931
True,grimax_gaus,0.2,70,0.0,100.0,0.38671015948057175
True,anvar,0.2,80,74.1294642857143,7.3381696428571175,18.336912653408945
True,grimax_h,0.2,80,0.0,100.0,0.44060075283050537
True,grimax_smoothed,0.2,80,0.0,100.0,0.4045378742739558
True,grimax_gaus,0.2,80,0.0,100.0,0.40274884924292564
True,anvar,0.2,90,82.98363095238098,7.795965608465581,18.31175497919321
True,grimax_h,0.2,90,0.0,100.0,0.42403647769242525
True,grimax_smoothed,0.2,90,0.0,100.0,0.3895971355959773
True,grimax_gaus,0.2,90,0.0,100.0,0.38948042783886194
True,anvar,0.3,10,9.182692307692308,8.173076923076916,18.349062965251505
True,grimax_h,0.3,10,0.0,100.0,0.6847427925094962
True,grimax_smoothed,0.3,10,0.0,100.0,0.6565443901345134
True,grimax_gaus,0.3,10,0.0,100.0,0.6550378175452352
True,anvar,0.3,20,18.999999999999996,5.000000000000018,18.368466379120946
True,grimax_h,0.3,20,0.0,100.0,0.5358031373471022
True,grimax_smoothed,0.3,20,0.0,100.0,0.5016675097867846
True,grimax_gaus,0.3,20,0.0,100.0,0.501868762075901
True,anvar,0.3,30,28.38414634146341,5.386178861788634,18.37068321555853
True,grimax_h,0.3,30,0.0,100.0,0.4947111187502742
True,grimax_smoothed,0.3,30,0.0,100.0,0.46244012378156185
True,grimax_gaus,0.3,30,0.0,100.0,0.4616392944008112
True,anvar,0.3,40,38.10213414634146,4.744664634146343,18.20236971974373
True,grimax_h,0.3,40,0.0,100.0,0.4790152395144105
True,grimax_smoothed,0.3,40,0.0,100.0,0.4416472399607301
True,grimax_gaus,0.3,40,0.0,100.0,0.44102147314697504
True,anvar,0.3,50,48.6188271604938,2.762345679012398,18.3366122180596
True,grimax_h,0.3,50,0.0,100.0,0.4625737303867936
True,grimax_smoothed,0.3,50,0.0,100.0,0.42842843756079674
True,grimax_gaus,0.3,50,0.0,100.0,0.4309294456616044
True,anvar,0.3,60,59.729938271604915,0.45010288065847465,18.269282527267933
True,grimax_h,0.3,60,0.0,100.0,0.4585614847019315
True,grimax_smoothed,0.3,60,0.0,100.0,0.42690227646380663
True,grimax_gaus,0.3,60,0.0,100.0,0.42848454881459475
True,anvar,0.3,70,68.37191358024693,2.3258377425043926,18.33283786661923
True,grimax_h,0.3,70,0.0,100.0,0.44742619525641203
True,grimax_smoothed,0.3,70,0.0,100.0,0.4159204289317131
True,grimax_gaus,0.3,70,0.0,100.0,0.4175491947680712
True,anvar,0.3,80,75.49568965517241,5.630387931034484,18.281142499297857
True,grimax_h,0.3,80,0.0,100.0,0.45492140110582113
True,grimax_smoothed,0.3,80,0.0,100.0,0.4237426621839404
True,grimax_gaus,0.3,80,0.0,100.0,0.4215195933356881
True,anvar,0.3,90,84.99999999999997,5.555555555555587,18.154509029351175
True,grimax_h,0.3,90,0.0,100.0,0.43601221591234207
True,grimax_smoothed,0.3,90,0.0,100.0,0.4046629024669528
True,grimax_gaus,0.3,90,0.0,100.0,0.40440197475254536
True,anvar,0.4,10,9.375000000000002,6.249999999999982,18.25882918201387
True,grimax_h,0.4,10,0.0,100.0,0.4659899743273854
True,grimax_smoothed,0.4,10,0.0,100.0,0.42947483621537685
True,grimax_gaus,0.4,10,0.0,100.0,0.4313449552282691
True,anvar,0.4,20,19.253048780487806,3.734756097560972,18.19784142356366
True,grimax_h,0.4,20,0.0,100.0,0.5576594453305006
True,grimax_smoothed,0.4,20,0.0,100.0,0.5245276177302003
True,grimax_gaus,0.4,20,0.0,100.0,0.5234746187925339
True,anvar,0.4,30,29.000000000000004,3.3333333333333215,18.213922131806612
True,grimax_h,0.4,30,0.0,100.0,0.5274678170681
True,grimax_smoothed,0.4,30,0.0,100.0,0.4950765613466501
True,grimax_gaus,0.4,30,0.0,100.0,0.4990821089595556
True,anvar,0.4,40,38.99999999999999,2.5000000000000178,18.269969264045358
True,grimax_h,0.4,40,0.0,100.0,0.5400663828477263
True,grimax_smoothed,0.4,40,0.0,100.0,0.5093956310302019
True,grimax_gaus,0.4,40,0.0,100.0,0.507898217998445
True,anvar,0.4,50,49.12183544303795,1.756329113924096,18.255174243822694
True,grimax_h,0.4,50,0.0,100.0,0.6477421820163727
True,grimax_smoothed,0.4,50,0.0,100.0,0.617534969933331
True,grimax_gaus,0.4,50,0.0,100.0,0.613234356045723
True,anvar,0.4,60,58.61550632911392,2.3074894514768003,18.225317155011
True,grimax_h,0.4,60,0.0,100.0,0.6239919103682041
True,grimax_smoothed,0.4,60,0.0,100.0,0.5942021599039435
True,grimax_gaus,0.4,60,0.0,100.0,0.5886550499126315
True,anvar,0.4,70,68.73511904761908,1.8069727891156007,18.277525645680726
True,grimax_h,0.4,70,0.0,100.0,0.6143366899341345
True,grimax_smoothed,0.4,70,0.0,100.0,0.5823217583820224
True,grimax_gaus,0.4,70,0.0,100.0,0.584869522601366
True,anvar,0.4,80,80.77922077922078,0.9740259740259738,18.372896619141102
True,grimax_h,0.4,80,0.0,100.0,0.5988810379058123
True,grimax_smoothed,0.4,80,0.0,100.0,0.5680509265512228
True,grimax_gaus,0.4,80,0.0,100.0,0.5664237029850483
True,anvar,0.4,90,92.375,2.638888888888889,18.367009293287992
True,grimax_h,0.4,90,0.0,100.0,0.6046122489497066
True,grimax_smoothed,0.4,90,0.0,100.0,0.5702480124309659
True,grimax_gaus,0.4,90,0.0,100.0,0.5688811466097832
True,anvar,0.5,10,9.375000000000002,6.249999999999982,18.20115234144032
True,grimax_h,0.5,10,0.0,100.0,0.4465478574857116
True,grimax_smoothed,0.5,10,0.0,100.0,0.41892100498080254
True,grimax_gaus,0.5,10,0.0,100.0,0.414680078625679
True,anvar,0.5,20,19.253048780487806,3.734756097560972,18.280563686974347
True,grimax_h,0.5,20,0.0,100.0,0.4792468920350075
True,grimax_smoothed,0.5,20,0.0,100.0,0.4440686069428921
True,grimax_gaus,0.5,20,0.0,100.0,0.44520140066742897
True,anvar,0.5,30,29.627976190476172,1.2400793650794266,18.233689181506634
True,grimax_h,0.5,30,0.0,100.0,0.7051319628953934
True,grimax_smoothed,0.5,30,0.0,100.0,0.674038321711123
True,grimax_gaus,0.5,30,0.0,100.0,0.6765781007707119
True,anvar,0.5,40,39.114583333333314,2.213541666666714,18.240325959399343
True,grimax_h,0.5,40,0.0,100.0,0.6673682359978557
True,grimax_smoothed,0.5,40,0.0,100.0,0.6347004175186157
True,grimax_gaus,0.5,40,0.0,100.0,0.6333421319723129
True,anvar,0.5,50,49.125,1.7500000000000002,18.239600396715105
True,grimax_h,0.5,50,0.0,100.0,0.6470660464838147
True,grimax_smoothed,0.5,50,0.0,100.0,0.6145037142559886
True,grimax_gaus,0.5,50,0.0,100.0,0.6145504955202341
True,anvar,0.5,60,60.24691358024691,0.4115226337448518,18.228860759176314
True,grimax_h,0.5,60,0.0,100.0,0.6194781363010406
True,grimax_smoothed,0.5,60,0.0,100.0,0.5889532146975398
True,grimax_gaus,0.5,60,0.0,100.0,0.588767153210938
True,anvar,0.5,70,72.87499999999999,4.107142857142837,18.244065110571682
True,grimax_h,0.5,70,0.0,100.0,0.6090582869946957
True,grimax_smoothed,0.5,70,0.0,100.0,0.577286341227591
True,grimax_gaus,0.5,70,0.0,100.0,0.5748390601947904
True,anvar,0.5,80,78.49999999999999,1.8750000000000175,18.160829384811223
True,grimax_h,0.5,80,0.0,100.0,0.6137281265109777
True,grimax_smoothed,0.5,80,0.0,100.0,0.5810546241700649
True,grimax_gaus,0.5,80,0.0,100.0,0.5811809543520212
True,anvar,0.5,90,88.70481927710846,1.4390896921017158,18.10060832928866
True,grimax_h,0.5,90,0.0,100.0,0.5959889004006982
True,grimax_smoothed,0.5,90,0.0,100.0,0.5659105824306607
True,grimax_gaus,0.5,90,0.0,100.0,0.5672743711620569
True,anvar,0.6,10,9.375000000000002,6.249999999999982,18.130471887998283
True,grimax_h,0.6,10,0.0,100.0,0.46167949866503477
True,grimax_smoothed,0.6,10,0.0,100.0,0.43016471434384584
True,grimax_gaus,0.6,10,0.0,100.0,0.430073332041502
True,anvar,0.6,20,19.253048780487806,3.734756097560972,18.076424757950008
True,grimax_h,0.6,20,0.0,100.0,0.561234014108777
True,grimax_smoothed,0.6,20,0.0,100.0,0.5292945522814989
True,grimax_gaus,0.6,20,0.0,100.0,0.5283778486773372
True,anvar,0.6,30,29.63095238095235,1.2301587301588293,18.04887717962265
True,grimax_h,0.6,30,0.0,100.0,0.5489120222628117
True,grimax_smoothed,0.6,30,0.0,100.0,0.515584965236485
True,grimax_gaus,0.6,30,0.0,100.0,0.515473079867661
True,anvar,0.6,40,37.94940476190473,5.126488095238173,18.091147305443883
True,grimax_h,0.6,40,0.0,100.0,0.546548942103982
True,grimax_smoothed,0.6,40,0.0,100.0,0.5145060736685991
True,grimax_gaus,0.6,40,0.0,100.0,0.5153240673244
True,anvar,0.6,50,48.51107594936714,2.977848101265721,18.047917525283992
True,grimax_h,0.6,50,0.0,100.0,0.5289861066266894
True,grimax_smoothed,0.6,50,0.0,100.0,0.4987481329590082
True,grimax_gaus,0.6,50,0.0,100.0,0.4969882611185312
True,anvar,0.6,60,59.37830687830691,1.0361552028218195,17.96979527361691
True,grimax_h,0.6,60,0.0,100.0,0.6247214553877711
True,grimax_smoothed,0.6,60,0.0,100.0,0.5928724212571979
True,grimax_gaus,0.6,60,0.0,100.0,0.5960944378748536
True,anvar,0.6,70,69.46629213483146,0.7624398073836249,17.997387184761465
True,grimax_h,0.6,70,0.0,100.0,0.6078960550948977
True,grimax_smoothed,0.6,70,0.0,100.0,0.5774193638935685
True,grimax_gaus,0.6,70,0.0,100.0,0.5758983241394162
True,anvar,0.6,80,81.26897199186355,1.5862149898294395,18.03850012551993
True,grimax_h,0.6,80,0.0,100.0,0.5942168990150094
True,grimax_smoothed,0.6,80,0.0,100.0,0.5654547978192568
True,grimax_gaus,0.6,80,0.0,100.0,0.5629156641662121
True,anvar,0.6,90,87.5766703176342,2.6925885359620043,18.12715016491711
True,grimax_h,0.6,90,0.0,100.0,0.5957105662673712
True,grimax_smoothed,0.6,90,0.0,100.0,0.5668211197480559
True,grimax_gaus,0.6,90,0.0,100.0,0.5655780397355556
True,anvar,0.7,10,9.375000000000002,6.249999999999982,18.35424007475376
True,grimax_h,0.7,10,0.0,100.0,0.7053509876132011
True,grimax_smoothed,0.7,10,0.0,100.0,0.6724648037925363
True,grimax_gaus,0.7,10,0.0,100.0,0.6727231033146381
True,anvar,0.7,20,18.64329268292683,6.783536585365849,17.89392666798085
True,grimax_h,0.7,20,0.0,100.0,0.5325868409126997
True,grimax_smoothed,0.7,20,0.0,100.0,0.49943652376532555
True,grimax_gaus,0.7,20,0.0,100.0,0.5009105084463954
True,anvar,0.7,30,28.986607142857114,3.3779761904762866,18.08066538721323
True,grimax_h,0.7,30,0.0,100.0,0.4989427188411355
True,grimax_smoothed,0.7,30,0.0,100.0,0.4729230012744665
True,grimax_gaus,0.7,30,0.0,100.0,0.47042726911604404
True,anvar,0.7,40,37.40178571428569,6.495535714285783,18.026592576876283
True,grimax_h,0.7,40,0.0,100.0,0.48111443407833576
True,grimax_smoothed,0.7,40,0.0,100.0,0.4481825605034828
True,grimax_gaus,0.7,40,0.0,100.0,0.45220259949564934
True,anvar,0.7,50,49.1313291139241,1.7373417721517939,18.140825109556317
True,grimax_h,0.7,50,0.0,100.0,0.4677213365212083
True,grimax_smoothed,0.7,50,0.0,100.0,0.4367599496617913
True,grimax_gaus,0.7,50,0.0,100.0,0.43597845546901226
True,anvar,0.7,60,55.6100562587905,7.316572902015833,18.05984558071941
True,grimax_h,0.7,60,0.0,100.0,0.45174986217170954
True,grimax_smoothed,0.7,60,0.0,100.0,0.4233029568567872
True,grimax_gaus,0.7,60,0.0,100.0,0.42157029546797276
True,anvar,0.7,70,66.67469234884966,4.750439501643342,18.04710256587714
True,grimax_h,0.7,70,0.0,100.0,0.45720515958964825
True,grimax_smoothed,0.7,70,0.0,100.0,0.4289345145225525
True,grimax_gaus,0.7,70,0.0,100.0,0.42667853739112616
True,anvar,0.7,80,80.20238095238088,0.25297619047609743,18.081148703582585
True,grimax_h,0.7,80,0.0,100.0,0.4341083411127329
True,grimax_smoothed,0.7,80,0.0,100.0,0.40398998837918043
True,grimax_gaus,0.7,80,0.0,100.0,0.4039306351915002
True,anvar,0.7,90,88.97160068846817,1.1426659017020313,17.99585102684796
True,grimax_h,0.7,90,0.0,100.0,0.44456932228058577
True,grimax_smoothed,0.7,90,0.0,100.0,0.4146043751388788
True,grimax_gaus,0.7,90,0.0,100.0,0.4140378935262561
True,anvar,0.8,10,8.749999999999998,12.500000000000016,18.16222450695932
